Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,CORE,371615563776.0,1.519,0.43526,AGRESIVO,1,794.09,67.7,723.37,559.57,True,False,True,42.22,13960999936.0,8883999744.0,206.67,742.56,-6.49,2,2,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.0,7,0,5,BAJA
NFLX,"Netflix, Inc.",Communication Services,Entertainment,CORE,433860444160.0,1.669,0.42762002,AGRESIVO,0,102.28,71.55,89.68,106.53,True,False,False,40.43,13659992064.0,10981200896.0,63.78,113.79,11.25,1,4,5,SIN SETUP,SEGUIMIENTO,BAJA,4,6.75,1,0,5,BAJA
TEM,"Tempus AI, Inc.",Healthcare,Health Information Services,GROWTH,7746691584.0,,-0.89481,SIN DATO,0,43.18,35.76,51.59,67.71,True,True,False,,-171512992.0,-245028000.0,270.11,75.43,74.68,3,1,4,PULLBACK,EVITAR,NULA,0,4.0,9,0,4,IGNORAR
RKLB,Rocket Lab Corporation,Industrials,Aerospace & Defense,GROWTH,39218388992.0,2.205,-0.18837999,ESPECULATIVO,-1,68.11,49.84,70.3,58.91,True,True,True,,-185512992.0,-198208992.0,15.39,86.68,27.27,3,2,4,PULLBACK EN TENDENCIA,EVITAR,NULA,0,5.0,7,0,4,IGNORAR
HOOD,"Robinhood Markets, Inc.",Financial Services,Capital Markets,GROWTH,61950218240.0,2.464,0.21993999,ESPECULATIVO,-1,68.81,42.28,76.38,107.45,True,True,False,33.57,,1883000064.0,136.04,106.98,55.47,2,3,4,PULLBACK,EVITAR,NULA,0,5.0,8,0,4,IGNORAR
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,CORE,575532105728.0,0.329,0.35029998,DEFENSIVO,-1,238.82,47.0,240.67,200.63,False,True,True,21.65,33835999232.0,26804000768.0,60.5,241.71,1.21,2,3,4,PULLBACK,EVITAR,NULA,0,4.0,9,0,4,IGNORAR
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,CORE,277658042368.0,0.408,0.12538,DEFENSIVO,-1,305.9,65.13,283.21,312.48,True,False,False,23.12,21624999936.0,12056000512.0,81.62,360.62,17.89,1,4,4,SIN SETUP,EVITAR,NULA,0,4.0,9,0,4,IGNORAR
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,CORE,834300018688.0,1.043,0.16134001,BALANCEADO,1,309.34,64.91,299.39,303.11,True,False,False,15.45,,55680999424.0,,336.54,8.79,1,2,4,SIN SETUP,EVITAR,NULA,0,5.0,8,0,4,IGNORAR
DIA,State Street SPDR Dow Jones Industrial Average ETF Trust,,,ETF,38946217984.0,,,SIN DATO,0,479.38,57.95,480.14,468.58,True,True,True,23.5,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,1.9,10,0,3,IGNORAR
AI,"C3.ai, Inc.",Technology,Software - Infrastructure,GROWTH,1217540352.0,2.07,-0.55012,ESPECULATIVO,-1,8.38,41.94,9.48,15.85,True,True,False,,-453099008.0,-434502016.0,8.37,8.82,5.23,2,2,3,PULLBACK,EVITAR,NULA,0,6.55,3,0,3,IGNORAR
SPY,State Street SPDR S&P 500 ETF Trust,,,ETF,623541092352.0,,,SIN DATO,0,679.39,59.91,674.29,664.36,True,False,True,26.94,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.9,10,0,2,IGNORAR
QQQ,Invesco QQQ Trust,,,ETF,240064200704.0,,,SIN DATO,0,610.71,60.35,600.63,596.69,True,False,True,32.26,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.9,10,0,2,IGNORAR
IWM,iShares Russell 2000 ETF,,,ETF,73401827328.0,,,SIN DATO,0,261.17,60.48,256.38,244.01,True,False,True,18.91,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.9,10,0,2,IGNORAR
EEM,iShares MSCI Emerging Markets ETF,,,ETF,45523963904.0,,,SIN DATO,0,60.51,60.41,59.07,54.42,True,False,True,16.83,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.9,10,0,2,IGNORAR
XLF,State Street Financial Select Sector SPDR ETF,,,ETF,44843667456.0,,,SIN DATO,0,50.76,55.64,51.01,52.7,True,True,False,17.12,,,,,,2,0,2,PULLBACK,EVITAR,NULA,0,1.9,10,0,2,IGNORAR
ARKK,ARK Innovation ETF,,,ETF,,,,SIN DATO,0,69.08,47.69,71.03,77.41,True,True,False,45.49,,,,,,2,0,2,PULLBACK,EVITAR,NULA,0,1.9,10,0,2,IGNORAR
IVV,iShares Core S&P 500 ETF,,,ETF,424210989056.0,,,SIN DATO,0,682.51,60.18,677.22,667.41,True,False,True,26.94,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.9,10,0,2,IGNORAR
XLE,State Street Energy Select Sector SPDR ETF,,,ETF,10598204416.0,,,SIN DATO,0,56.85,42.37,56.52,47.52,False,False,True,21.91,,,,,,1,0,1,SIN SETUP,EVITAR,NULA,0,1.9,10,0,1,IGNORAR
XLK,State Street Technology Select Sector SPDR ETF,,,ETF,38849597440.0,,,SIN DATO,0,142.8,60.73,138.94,138.94,True,False,False,33.94,,,,,,1,0,1,SIN SETUP,EVITAR,NULA,0,1.9,10,0,1,IGNORAR
