Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
DDOG,False,,,,"Datadog, Inc.",Technology,Software - Application,CORE,S&P 500,42462158848.0,1.294,0.03343,AGRESIVO,1,124.04,56.02,119.38,138.59,True,False,False,387.1,11.33,7529000.0,107741000.0,34.27,169.88,181.37,46.22,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.41,6,6,0,BAJA
MSFT,False,,,,Microsoft Corporation,Technology,Software - Infrastructure,CORE,Dow Jones,3077227413504.0,1.107,0.34390998,BALANCEADO,1,428.22,73.44,392.38,471.98,True,False,False,25.88,7.87,175258992640.0,119262003200.0,31.54,0.7,585.41,36.71,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.41,6,6,0,BAJA
UBER,False,,,,"Uber Technologies, Inc.",Technology,Software - Application,CORE,S&P 500,160296370176.0,1.206,0.39925998,AGRESIVO,1,77.53,61.42,73.42,86.15,True,False,False,16.47,5.96,6312000000.0,10053000192.0,43.81,1.95,103.68,33.72,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.41,6,6,0,BAJA
MELI,True,MELI.BA,MELID.BA,1.0,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,S&P 500,95381684224.0,1.492,0.35985002,AGRESIVO,1,1862.81,60.34,1799.52,2123.44,True,False,False,47.76,14.13,4019000064.0,1996999936.0,169.24,2.84,2490.27,33.68,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.64,5,6,0,BAJA
META,False,,,,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,S&P 500,1706665836544.0,1.309,0.30238,AGRESIVO,1,683.04,68.81,629.74,681.23,True,False,False,28.69,7.86,101891997696.0,60458000384.0,39.16,0.84,855.68,25.28,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.67,4,6,0,BAJA
TMO,False,,,,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,CORE,S&P 500,197349523456.0,0.972,0.13024001,BALANCEADO,1,527.68,60.88,503.27,523.73,True,False,False,29.99,3.74,11137999872.0,6704000000.0,77.25,3.71,654.6,24.05,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.32,7,6,0,BAJA
ICE,False,,,,"Intercontinental Exchange, Inc.",Financial Services,Financial Data & Stock Exchanges,CORE,S&P 500,94089093120.0,1.043,0.11885,BALANCEADO,1,160.68,48.61,160.3,165.93,True,False,False,28.71,3.25,6176000000.0,3315000064.0,70.08,3.29,197.87,23.14,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.04,9,6,0,BAJA
SPGI,False,,,,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,CORE,S&P 500,129508884480.0,1.204,0.13087,AGRESIVO,1,443.04,57.27,426.43,494.45,True,False,False,29.55,4.16,7644000256.0,4471000064.0,37.91,1.79,538.52,21.55,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.04,9,6,0,BAJA
DIS,False,,,,The Walt Disney Company,Communication Services,Entertainment,CORE,Dow Jones,183137665024.0,1.441,0.12024,AGRESIVO,1,106.01,68.47,101.61,110.55,True,False,False,15.21,1.69,19306000384.0,12252000256.0,40.91,2.42,128.39,21.11,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.67,4,6,0,BAJA
CDNS,False,,,,"Cadence Design Systems, Inc.",Technology,Software - Application,CORE,S&P 500,84500733952.0,1.041,0.21855,BALANCEADO,1,311.1,62.81,290.32,321.23,True,False,False,75.38,15.2,1908109056.0,1108888064.0,48.71,1.4,371.68,19.47,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.41,6,6,0,BAJA
