Ticker,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
PGR,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,CORE,S&P 500,118464413696.0,0.327,0.40448,DEFENSIVO,-1,201.85,51.34,203.72,225.3,True,True,False,10.51,3.91,14814000128.0,11308000256.0,23.42,0.48,228.48,13.19,2,5,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,8,0.0,6.0,BAJA
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,CORE,S&P 500,1027608805376.0,0.699,0.09809,DEFENSIVO,0,476.02,42.13,489.25,490.3,True,True,False,15.35,0.0,110593998848.0,66967998464.0,18.81,1.22,523.0,9.87,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,8,0.0,6.0,BAJA
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,CORE,S&P 500,56886362112.0,0.224,0.39518002,DEFENSIVO,-1,219.14,65.2,208.44,204.2,True,False,True,5.76,1.99,12494999552.0,10165000192.0,25.09,0.61,239.43,9.26,2,5,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.0,8,0.0,6.0,BAJA
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,CORE,S&P 500,306873040896.0,1.637,0.38863,AGRESIVO,0,387.4,59.92,354.8,257.14,True,False,True,39.74,14.13,8888999936.0,7839000064.0,33.11,0.81,421.88,8.9,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.45,6,0.0,6.0,BAJA
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,CORE,S&P 500,327371653120.0,1.79,0.65565,AGRESIVO,0,261.28,62.46,229.83,164.61,True,False,True,53.41,32.14,7343528960.0,6213408768.0,44.2,0.61,279.13,6.83,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.45,6,0.0,6.0,BAJA
SLB,SLB N.V.,Energy,Oil & Gas Equipment & Services,CORE,S&P 500,78832017408.0,0.695,0.13904001,DEFENSIVO,0,52.54,59.65,49.88,40.27,True,False,True,22.35,3.01,7733000192.0,3374000128.0,45.98,1.62,55.61,5.84,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.22,7,0.0,6.0,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,S&P 500,564325122048.0,1.382,0.50458,AGRESIVO,1,1442.53,55.12,1395.43,1077.8,True,False,True,49.82,24.4,12266399744.0,9609400320.0,23.92,0.38,1511.58,4.79,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.45,6,0.0,6.0,BAJA
TXN,Texas Instruments Incorporated,Technology,Semiconductors,CORE,S&P 500,194647949312.0,0.994,0.30148,BALANCEADO,1,213.98,62.12,206.49,190.55,True,False,True,39.23,11.92,8044000256.0,4973000192.0,90.82,1.84,222.96,4.19,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.45,6,0.0,6.0,BAJA
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,CORE,S&P 500,153470435328.0,1.164,0.21525998,BALANCEADO,1,394.79,61.91,370.19,359.36,True,False,True,37.81,7.89,6310000128.0,4087000064.0,54.88,1.69,410.2,3.9,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.93,2,0.0,6.0,BAJA
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,CORE,S&P 500,224500891648.0,1.435,1.00726,AGRESIVO,1,1713.44,62.85,1498.67,1207.28,True,False,True,49.81,41.0,5742102016.0,4557986816.0,111.78,1.06,1688.03,-1.48,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.45,6,0.0,6.0,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,S&P 500,99118964736.0,1.005,0.15488,BALANCEADO,1,94.53,41.65,106.17,156.33,False,True,False,56.74,7.65,2737999872.0,1748000000.0,18.54,0.88,182.29,92.84,1,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.45,6,0.0,6.0,BAJA
INTU,Intuit Inc.,Technology,Software - Application,CORE,S&P 500,108999958528.0,1.213,0.23457001,AGRESIVO,1,391.12,43.08,418.66,611.08,False,True,False,25.48,5.7,6106999808.0,4339999744.0,36.15,1.13,603.49,54.3,1,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.45,6,0.0,6.0,BAJA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,Dow Jones,3077227413504.0,1.107,0.34390998,BALANCEADO,1,413.4,68.07,391.96,472.7,True,False,False,25.88,7.87,175258992640.0,119262003200.0,31.54,0.7,585.41,41.61,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.45,6,0.0,6.0,BAJA
UBER,"Uber Technologies, Inc.",Technology,Software - Application,CORE,S&P 500,160296370176.0,1.206,0.39925998,AGRESIVO,1,77.9,62.97,73.39,86.31,True,False,False,16.47,5.96,6312000000.0,10053000192.0,43.81,1.95,103.68,33.09,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.45,6,0.0,6.0,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,S&P 500,95381684224.0,1.492,0.35985002,AGRESIVO,1,1881.83,64.38,1809.07,2130.64,True,False,False,47.76,14.13,4019000064.0,1996999936.0,169.24,2.84,2490.27,32.33,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.73,4,0.0,6.0,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,S&P 500,5677437440.0,1.025,0.14374,BALANCEADO,1,10.61,46.29,11.27,13.24,False,True,False,20.42,2.74,75536000.0,282329984.0,3.9,1.08,13.8,30.11,1,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.45,6,0.0,6.0,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,S&P 500,1706665836544.0,1.309,0.30238,AGRESIVO,1,674.1,67.06,629.81,681.73,True,False,False,28.69,7.86,101891997696.0,60458000384.0,39.16,0.84,855.68,26.94,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,6.56,1,0.0,6.0,BAJA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,Dow Jones,183137665024.0,1.441,0.12024,AGRESIVO,1,103.25,62.2,101.64,110.74,True,False,False,15.21,1.69,19306000384.0,12252000256.0,40.91,2.42,128.39,24.35,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,6.56,1,0.0,6.0,BAJA
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,CORE,S&P 500,129508884480.0,1.204,0.13087,AGRESIVO,1,433.41,52.47,427.56,495.34,True,False,False,29.55,4.16,7644000256.0,4471000064.0,37.91,1.79,538.52,24.25,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.0,8,0.0,6.0,BAJA
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,CORE,S&P 500,197349523456.0,0.972,0.13024001,BALANCEADO,1,531.04,65.49,505.09,522.64,True,False,False,29.99,3.74,11137999872.0,6704000000.0,77.25,3.71,654.6,23.27,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.61,5,0.0,6.0,BAJA
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,CORE,S&P 500,83626401792.0,1.148,0.055430003,BALANCEADO,1,437.32,59.65,421.26,483.83,True,False,False,66.85,2.74,1615056000.0,1105394944.0,35.58,6.73,535.68,22.49,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.45,6,0.0,6.0,BAJA
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,CORE,S&P 500,79491186688.0,1.446,0.62078,AGRESIVO,1,446.54,52.61,444.24,486.22,True,False,False,32.67,19.56,3736999936.0,2459000064.0,176.81,1.99,544.95,22.04,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.0,8,0.0,6.0,BAJA
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,CORE,S&P 500,84500733952.0,1.041,0.21855,BALANCEADO,1,305.81,60.47,288.8,321.24,True,False,False,75.38,15.2,1908109056.0,1108888064.0,48.71,1.4,371.68,21.54,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.45,6,0.0,6.0,BAJA
ICE,"Intercontinental Exchange, Inc.",Financial Services,Financial Data & Stock Exchanges,CORE,S&P 500,94089093120.0,1.043,0.11885,BALANCEADO,1,165.63,56.8,160.38,166.14,True,False,False,28.71,3.25,6176000000.0,3315000064.0,70.08,3.29,197.87,19.46,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.0,8,0.0,6.0,BAJA
BLK,"BlackRock, Inc.",Financial Services,Asset Management,CORE,S&P 500,163937665024.0,1.493,,AGRESIVO,1,1054.35,66.0,1015.5,1083.59,True,False,False,26.51,2.92,10242499584.0,6255000064.0,24.37,1.46,1225.06,16.19,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.0,8,0.0,6.0,BAJA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,CORE,Dow Jones,2675926630400.0,1.383,0.22286,AGRESIVO,1,248.71,75.91,213.68,225.28,True,False,False,34.7,6.5,145730994176.0,77669998592.0,43.44,1.23,281.18,13.06,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.73,4,0.0,6.0,BAJA
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,CORE,S&P 500,369016897536.0,0.364,62.25,DEFENSIVO,-1,208.7,43.82,219.61,217.12,True,True,True,87.66,-112.77,29254000640.0,4185999872.0,,2.34,249.0,19.31,3,3,5,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.61,5,0.0,5.0,BAJA
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,CORE,Dow Jones,217694519296.0,0.532,,DEFENSIVO,-1,306.27,41.83,320.39,309.36,True,True,True,25.63,-121.58,14593999872.0,8562999808.0,,3.76,344.79,12.58,3,3,5,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.73,4,0.0,5.0,BAJA
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,CORE,S&P 500,211978354688.0,0.41,0.42848,DEFENSIVO,-1,155.25,47.48,160.36,148.69,True,True,True,25.85,10.39,18173999104.0,8240000000.0,258.08,2.92,170.06,9.54,3,3,5,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.75,3,0.0,5.0,BAJA
